,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
ENSSSCG00000000083,26.85888182,26.27896467,26.62522874,26.73333048,26.77926662,26.08986875,27.13736354,26.51079908,26.66239832,26.90627517,26.69069403,26.3564677,26.65959986,25.95635288,26.51031113,26.42712664,26.58015928,26.57645487,26.53694919,26.41518425,26.62579181,26.89743722,26.59270621,27.00338772,26.81227456,26.9144859,26.89495352,26.31773701,26.81795005,26.55813143,26.82487845,26.74792369,26.95995078,26.64361106,26.33445537,26.89191976
ENSSSCG00000000084,31.64790691,31.72603605,31.61145142,31.37883845,31.6541303,31.69736558,31.57498328,31.43371487,31.49842563,31.51074113,31.37351097,31.9266314,31.31701948,31.26754925,31.58814553,31.91778869,31.40575492,31.40243662,31.41406012,31.277922,31.48796383,31.66183862,31.50894096,31.6268756,31.8697695,31.44417746,31.86472493,31.76369689,31.60203608,31.61947014,31.62921354,31.49631255,31.42921915,31.49944305,31.51661491,31.60989327
ENSSSCG00000000086,24.52600343,24.30761487,24.41796759,24.08861323,24.90900055,25.32479782,24.36670872,24.1345696,24.38879467,24.21016571,25.21289502,24.58422663,23.98500015,23.39962406,24.01304269,24.09752462,24.48112991,25.1741081,24.07213772,24.38645253,24.27493653,24.80787184,23.69491782,24.27099486,23.99895808,24.20176785,23.99757673,24.37266322,24.08811392,24.6466681,24.15287538,24.10000928,24.01538977,23.87044482,24.54558363,23.89469684
ENSSSCG00000000087,28.60698588,28.15943409,28.19608165,28.1530946,28.27301261,28.51904336,28.32550042,27.88285436,28.18275174,28.34532529,28.38926063,28.27584924,28.13880548,28.15699468,28.25863196,28.28127577,28.32595954,28.41184327,28.16192374,28.2415716,27.86445732,28.22551516,28.12812925,28.25838481,28.11564106,28.25101137,28.36648276,27.80470107,28.42117476,28.05006568,28.164937,28.29788353,27.98501612,28.33524162,28.16465955,28.06585439
ENSSSCG00000000089,32.94140316,32.5098763,32.5437148,32.35449064,32.24106396,32.40487994,32.88444299,32.45532379,32.50865126,32.45210244,32.678749,32.1658374,32.32628802,32.12540642,32.04993483,32.44855217,32.32892906,32.29780118,32.32868571,32.66391363,32.41856193,32.21873487,32.07870361,32.33319474,32.15260189,32.38345695,32.29974901,32.43584132,32.51219147,32.44670514,32.0977513,32.61731825,32.20482215,32.24783316,32.52563835,32.11379088
ENSSSCG00000000090,26.66662629,25.97653969,26.20432901,24.96503855,25.49011073,26.32085063,25.42115651,25.74564494,25.34572595,24.71156349,25.47754228,26.45349216,25.91099956,26.11801755,26.01858087,26.18611854,25.90562774,26.62432119,25.42920762,25.18191378,25.51805025,25.78987541,25.63233329,25.70192373,25.77917687,25.78673035,26.32760987,25.66442934,25.68655965,24.61892311,26.36755696,25.08981351,25.11492544,25.89970941,25.78823895,25.52338072
ENSSSCG00000000091,24.63193687,24.82056613,24.2090207,24.53031868,25.04124835,24.92803905,24.77777732,24.45253968,24.28318449,24.09312629,24.70797202,24.95943815,23.93991226,24.84372402,25.04595731,24.52691741,24.59777483,24.32243084,24.3901078,24.78899909,24.23794233,24.45886421,24.15682193,24.65371464,25.83880085,25.31312896,25.4988813,23.35598448,24.24214755,24.40815601,24.01752353,23.8809995,24.41314928,24.68117447,24.22722215,24.71781908
ENSSSCG00000000093,26.52256434,26.39793548,25.62171426,25.58476647,25.93756971,25.78064153,26.52779907,26.0584872,25.5107852,25.83212242,25.71482569,26.08083326,25.85137558,26.05550834,25.67015498,25.63025716,26.05593254,26.25017475,26.0269714,25.74440894,26.29758527,26.05391552,25.9269993,25.9840224,25.92935261,26.02682477,26.12860038,26.48046651,25.89836873,25.5690472,25.63368065,25.38489039,25.77281947,26.21117051,25.96952119,26.19875851
ENSSSCG00000000094,30.13565709,29.68480103,29.74192052,29.0744127,29.22804037,29.27721286,29.47959212,29.77882099,29.67506704,29.3490525,29.17798199,29.97688411,29.89669173,29.51397171,29.77816938,29.69485714,29.61128045,29.52739542,29.64594051,29.47342756,29.59091725,29.69434943,29.88846643,29.52036339,30.07871338,30.05575118,29.89461258,29.79969906,29.50299266,29.29491439,29.97438761,29.12206445,29.64959579,29.90151889,29.55847087,29.70403213
ENSSSCG00000000095,29.0988931,28.36033555,28.4108582,28.3090818,28.00256073,28.24892886,28.54978509,28.3252061,28.2659615,28.21833964,28.31678126,28.28466635,28.35387592,28.18159366,28.29559655,28.47325916,28.21391322,28.52424494,28.4088124,28.26205185,28.11198556,28.63803998,28.23026657,28.33025374,28.75384558,28.76202991,28.81865451,28.45817383,28.53548823,28.23962339,28.28031155,28.24143286,28.05631002,28.40016338,28.54290287,28.29544494
ENSSSCG00000000096,26.52943433,26.80629603,26.43007419,26.11528118,26.26062888,26.39029856,26.65007697,26.41642025,26.48322948,26.28767508,26.13838474,26.829897,26.48226859,26.47718504,26.57938951,26.53759091,26.59426888,26.52694577,26.47102779,26.44733477,26.21432977,26.64723181,26.51002919,26.39766666,26.64197768,26.53787488,26.74567506,26.8154161,26.42620683,26.51362316,26.23144443,26.42193738,26.28128383,26.65738391,26.6254644,26.75191228
ENSSSCG00000000097,28.46549869,28.35446297,28.44705315,28.63077886,28.35366762,28.35695648,28.6279254,28.32952879,28.33144716,28.52552115,28.41263323,28.05400947,28.49887955,28.21295783,28.27954095,28.24483132,28.20704323,28.41184327,28.55562223,28.53690016,28.41720519,28.27379235,28.3496214,28.45404913,28.48941659,28.93002432,28.66401329,28.30149637,28.56316226,28.39900892,28.11607341,28.84886355,28.56460908,28.47789641,28.42167503,28.38901398
ENSSSCG00000000104,30.81896042,30.97797275,30.61355407,30.46624464,30.17593698,30.55875794,30.68764561,30.55968488,30.79097913,30.7175485,30.68481569,31.03829174,30.45323255,30.39988615,30.63790843,30.69306806,30.7360342,30.72791468,30.76400072,30.22050578,30.00009783,30.36853627,30.64757667,31.10564592,30.95534476,30.10538938,30.54891943,30.03987674,30.7918713,30.88607342,30.60470158,30.61626419,30.69921987,30.2714642,30.95497456,30.90970438
ENSSSCG00000000105,28.55911174,28.71681509,27.90657503,28.67984249,28.78005563,28.29392087,28.50547279,28.40724731,28.98432642,28.87041634,28.4541824,28.15363109,28.62885634,28.36674976,27.66839452,28.6410205,28.1745435,27.7234084,28.4942601,28.61681811,28.51322033,28.60925286,28.56038849,28.15827333,27.64365037,27.68369183,28.10167709,28.87003332,28.61696694,28.70473716,28.08255334,29.02640969,28.27770837,28.37537774,28.74457562,28.54916763
ENSSSCG00000000107,28.91832085,29.05407258,28.64873018,27.83470135,28.01333721,28.73613515,28.93773203,28.73834835,28.33585571,28.27093181,28.24993519,28.73095282,28.60738993,28.04079366,28.39687988,28.40689486,28.33018103,28.29628488,28.52346176,28.59545765,28.70162592,28.87982168,28.7557157,28.30595049,28.25347325,28.3447258,28.47991602,28.63102619,28.52426825,28.32581304,28.31680662,28.25746297,28.44643959,28.73655828,28.49377736,28.58055076
ENSSSCG00000000108,27.44293497,27.685191,27.24829585,27.06418319,27.04387861,27.8952342,27.01119892,27.11717255,27.4692517,26.87706982,27.29064271,27.02141217,27.17452063,26.97617432,26.91845284,27.26316862,27.22642386,26.9211465,27.13261158,27.56005788,27.35269874,27.29202062,27.21729579,26.60020931,27.00156929,27.06893217,27.31339601,27.22204136,27.13065961,27.23848427,26.88444771,27.21938884,26.65649535,26.9425225,27.45912479,26.97823754
ENSSSCG00000000110,27.03334503,26.50783848,26.91090095,27.04211477,26.6191733,26.70694343,26.52779907,27.05065355,26.84668248,26.99050308,26.97956844,26.74938239,26.91391705,26.62081773,26.6876424,26.1494767,26.64259333,27.25669788,26.786195,26.14808018,26.92825783,27.42233833,27.14441691,27.13964162,27.29770139,27.16341404,27.16750173,26.86341038,26.70985627,26.67051484,27.04388823,27.19105349,26.92989355,27.54888622,27.08949597,27.07934335
ENSSSCG00000000114,27.54815984,26.93254378,26.94504918,26.63354884,26.86505721,27.82172252,27.32448049,26.57045388,26.74427533,26.82296242,27.03538565,26.83590823,27.14005187,26.21653329,26.82039761,27.17931871,26.85671814,27.18098354,27.09905902,27.22659739,26.96267763,26.99491711,26.11165561,26.34659248,26.1144353,26.72919659,26.93794203,26.72088261,27.00176188,26.4908433,26.85165778,26.95307718,26.82927273,27.11712702,26.71709488,26.79416996
ENSSSCG00000000116,27.09947029,26.85702101,27.17345534,26.76735788,27.14534009,27.0112218,27.30806273,26.74240656,26.79638736,26.95739964,26.82977685,26.68423836,26.37626026,26.31765521,26.64531091,26.96936827,26.84496496,26.78938043,26.627147,26.72814388,26.79452303,26.84611064,26.6778038,26.88905505,26.75152053,27.02933599,26.94322663,26.80316384,27.00176188,26.65009901,26.85165778,26.94178401,26.95398922,26.89680952,26.80325152,26.87514404
